datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,wday,secteur1,secteur2,secteur3,secteur4,secteur5
2011-01-01 00:00:00,winter,0,0,1,9.84,14.395,81,0,3,13,16,2011,Jan,Sat,0.0625,0.75,0.0625,0.125,0
2011-01-01 01:00:00,winter,0,0,1,9.02,13.635,80,0,8,32,40,2011,Jan,Sat,0.075,0.725,0.2,0,0
2011-01-01 02:00:00,winter,0,0,1,9.02,13.635,80,0,5,27,32,2011,Jan,Sat,0.03125,0.625,0.1875,0.15625,0
2011-01-01 03:00:00,winter,0,0,1,9.84,14.395,75,0,3,10,13,2011,Jan,Sat,0.0769230769230769,0.692307692307692,0.230769230769231,0,0
2011-01-01 04:00:00,winter,0,0,1,9.84,14.395,75,0,0,1,1,2011,Jan,Sat,0,1,0,0,0
2011-01-01 05:00:00,winter,0,0,2,9.84,12.88,75,6.0032,0,1,1,2011,Jan,Sat,0,0,1,0,0
2011-01-01 06:00:00,winter,0,0,1,9.02,13.635,80,0,2,0,2,2011,Jan,Sat,0,0.5,0.5,0,0
2011-01-01 07:00:00,winter,0,0,1,8.2,12.88,86,0,1,2,3,2011,Jan,Sat,0.333333333333333,0.666666666666667,0,0,0
2011-01-01 08:00:00,winter,0,0,1,9.84,14.395,75,0,1,7,8,2011,Jan,Sat,0,0.625,0,0.375,0
2011-01-01 09:00:00,winter,0,0,1,13.12,17.425,76,0,8,6,14,2011,Jan,Sat,0.142857142857143,0.642857142857143,0.214285714285714,0,0
2011-01-01 10:00:00,winter,0,0,1,15.58,19.695,76,16.9979,12,24,36,2011,Jan,Sat,0.0555555555555556,0.75,0.138888888888889,0.0555555555555556,0
2011-01-01 11:00:00,winter,0,0,1,14.76,16.665,81,19.0012,26,30,56,2011,Jan,Sat,0.0357142857142857,0.660714285714286,0.178571428571429,0.125,0
2011-01-01 12:00:00,winter,0,0,1,17.22,21.21,77,19.0012,29,55,84,2011,Jan,Sat,0.0952380952380952,0.547619047619048,0.30952380952381,0.0476190476190476,0
2011-01-01 13:00:00,winter,0,0,2,18.86,22.725,72,19.9995,47,47,94,2011,Jan,Sat,0.074468085106383,0.734042553191489,0.180851063829787,0.0106382978723404,0
2011-01-01 14:00:00,winter,0,0,2,18.86,22.725,72,19.0012,35,71,106,2011,Jan,Sat,0.019047619047619,0.828571428571429,0.152380952380952,0,0
2011-01-01 15:00:00,winter,0,0,2,18.04,21.97,77,19.9995,40,70,110,2011,Jan,Sat,0.0272727272727273,0.8,0.136363636363636,0.0363636363636364,0
2011-01-01 16:00:00,winter,0,0,2,17.22,21.21,82,19.9995,41,52,93,2011,Jan,Sat,0.043010752688172,0.870967741935484,0.043010752688172,0.043010752688172,0
2011-01-01 17:00:00,winter,0,0,2,18.04,21.97,82,19.0012,15,52,67,2011,Jan,Sat,0.0447761194029851,0.701492537313433,0.208955223880597,0.0447761194029851,0
2011-01-01 18:00:00,winter,0,0,3,17.22,21.21,88,16.9979,9,26,35,2011,Jan,Sat,0.114285714285714,0.742857142857143,0.0857142857142857,0.0571428571428571,0
2011-01-01 19:00:00,winter,0,0,3,17.22,21.21,88,16.9979,6,31,37,2011,Jan,Sat,0.0540540540540541,0.756756756756757,0,0.189189189189189,0
2011-01-01 20:00:00,winter,0,0,2,16.4,20.455,87,16.9979,11,25,36,2011,Jan,Sat,0,0.805555555555556,0.166666666666667,0.0277777777777778,0
2011-01-01 21:00:00,winter,0,0,2,16.4,20.455,87,12.998,3,31,34,2011,Jan,Sat,0.0882352941176471,0.764705882352941,0.117647058823529,0.0294117647058824,0
2011-01-01 22:00:00,winter,0,0,2,16.4,20.455,94,15.0013,11,17,28,2011,Jan,Sat,0.0714285714285714,0.857142857142857,0.0714285714285714,0,0
2011-01-01 23:00:00,winter,0,0,2,18.86,22.725,88,19.9995,15,24,39,2011,Jan,Sat,0,0.948717948717949,0.0512820512820513,0,0
2011-01-02 00:00:00,winter,0,0,2,18.86,22.725,88,19.9995,4,13,17,2011,Jan,Sun,0.0588235294117647,0.705882352941177,0.235294117647059,0,0
2011-01-02 01:00:00,winter,0,0,2,18.04,21.97,94,16.9979,1,16,17,2011,Jan,Sun,0,0.705882352941177,0.294117647058824,0,0
2011-01-02 02:00:00,winter,0,0,2,17.22,21.21,100,19.0012,1,8,9,2011,Jan,Sun,0.111111111111111,0.666666666666667,0.222222222222222,0,0
2011-01-02 03:00:00,winter,0,0,2,18.86,22.725,94,12.998,2,4,6,2011,Jan,Sun,0,0.666666666666667,0.333333333333333,0,0
2011-01-02 04:00:00,winter,0,0,2,18.86,22.725,94,12.998,2,1,3,2011,Jan,Sun,0,1,0,0,0
2011-01-02 06:00:00,winter,0,0,3,17.22,21.21,77,19.9995,0,2,2,2011,Jan,Sun,0,0.5,0.5,0,0
2011-01-02 07:00:00,winter,0,0,2,16.4,20.455,76,12.998,0,1,1,2011,Jan,Sun,0,1,0,0,0
2011-01-02 08:00:00,winter,0,0,3,16.4,20.455,71,15.0013,0,8,8,2011,Jan,Sun,0.125,0.5,0.125,0.25,0
2011-01-02 09:00:00,winter,0,0,2,15.58,19.695,76,15.0013,1,19,20,2011,Jan,Sun,0.05,0.8,0.15,0,0
2011-01-02 10:00:00,winter,0,0,2,14.76,17.425,81,15.0013,7,46,53,2011,Jan,Sun,0.0754716981132075,0.622641509433962,0.264150943396226,0.0377358490566038,0
2011-01-02 11:00:00,winter,0,0,2,14.76,16.665,71,16.9979,16,54,70,2011,Jan,Sun,0.0714285714285714,0.7,0.214285714285714,0.0142857142857143,0
2011-01-02 12:00:00,winter,0,0,2,14.76,16.665,66,19.9995,20,73,93,2011,Jan,Sun,0.043010752688172,0.763440860215054,0.172043010752688,0.021505376344086,0
2011-01-02 13:00:00,winter,0,0,2,14.76,17.425,66,8.9981,11,64,75,2011,Jan,Sun,0.0533333333333333,0.693333333333333,0.2,0.0533333333333333,0
2011-01-02 14:00:00,winter,0,0,3,14.76,17.425,76,12.998,4,55,59,2011,Jan,Sun,0.101694915254237,0.728813559322034,0.169491525423729,0,0
2011-01-02 15:00:00,winter,0,0,3,13.94,16.665,81,11.0014,19,55,74,2011,Jan,Sun,0.0675675675675676,0.783783783783784,0.148648648648649,0,0
2011-01-02 16:00:00,winter,0,0,3,13.94,16.665,71,11.0014,9,67,76,2011,Jan,Sun,0.0789473684210526,0.776315789473684,0.131578947368421,0.0131578947368421,0
2011-01-02 17:00:00,winter,0,0,1,13.94,16.665,57,12.998,7,58,65,2011,Jan,Sun,0.0461538461538462,0.707692307692308,0.246153846153846,0,0
2011-01-02 18:00:00,winter,0,0,2,14.76,16.665,46,22.0028,10,43,53,2011,Jan,Sun,0.0769230769230769,0.846153846153846,0.0384615384615385,0.0384615384615385,0
2011-01-02 19:00:00,winter,0,0,1,13.12,14.395,42,30.0026,1,29,30,2011,Jan,Sun,0.0333333333333333,0.833333333333333,0.133333333333333,0,0
2011-01-02 20:00:00,winter,0,0,1,12.3,13.635,39,23.9994,5,17,22,2011,Jan,Sun,0.181818181818182,0.681818181818182,0.0454545454545455,0.0909090909090909,0
2011-01-02 21:00:00,winter,0,0,1,10.66,11.365,44,22.0028,11,20,31,2011,Jan,Sun,0.129032258064516,0.645161290322581,0.129032258064516,0.0967741935483871,0
2011-01-02 22:00:00,winter,0,0,1,9.84,10.605,44,19.9995,0,9,9,2011,Jan,Sun,0,0.888888888888889,0.111111111111111,0,0
2011-01-02 23:00:00,winter,0,0,1,9.02,11.365,47,11.0014,0,8,8,2011,Jan,Sun,0,0.875,0,0.125,0
2011-01-03 00:00:00,winter,0,1,1,9.02,9.85,44,23.9994,0,5,5,2011,Jan,Mon,0,0.6,0.4,0,0
2011-01-03 01:00:00,winter,0,1,1,8.2,8.335,44,27.9993,0,2,2,2011,Jan,Mon,0,1,0,0,0
2011-01-03 04:00:00,winter,0,1,1,6.56,6.82,47,26.0027,0,1,1,2011,Jan,Mon,0,0,1,0,0
2011-01-03 05:00:00,winter,0,1,1,6.56,6.82,47,19.0012,0,3,3,2011,Jan,Mon,0,1,0,0,0
2011-01-03 06:00:00,winter,0,1,1,5.74,5.305,50,26.0027,0,30,30,2011,Jan,Mon,0.166666666666667,0.566666666666667,0.133333333333333,0.133333333333333,0
2011-01-03 07:00:00,winter,0,1,1,5.74,6.82,50,12.998,1,63,64,2011,Jan,Mon,0.046875,0.65625,0.234375,0.0625,0
